NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NOTA_DIFERENCIAL;NAC_DOS;NCP_DOS;VECES_SEGUNDA_LENGUA_DOS;VECES_EE_DOS;VECES_ECUACIONES;PG_ICFES;NOTA_TEXTOS;CAR_DOS;NCC_DOS;NAP_DOS;NAP_UNO;NOTA_SEMINARIO;VECES_LOGICA;VECES_EE_UNO;NAA_UNO;VECES_DIFERENCIAL;VECES_CATEDRA_DEM;NCA_UNO;NOTA_CATEDRA_CON;NCC_UNO;NOTA_EE_UNO;NAC_UNO;NOTA_CATEDRA_DEM;NOTA_LOGICA;CAR_UNO;NOTA_PROG_BASICA;EPA_DOS;IDIOMA_ICFES;CON_MAT_ICFES;CREDITOS_EE_DOS;CREDITOS_ECUACIONES;CREDITOS_MULTIVARIADO;CREDITOS_TGS;CREDITOS_SEGUNDA_LENGUA_DOS;CREDITOS_FISICA_DOS;PROMEDIO_UNO;PROMEDIO_DOS;CREDITOS_PROG_AVANZADA;RENDIMIENTO_TRES;PROMEDIO_TRES
35.0;35.0;22.66666667;23.0;41.0;3;47;1;7;1;16.0;3;24.0;22.5;8;3.0;1;1;2;447.57;45.0;2;19.0;1;1;45.0;1;1;8;2;1;14.0;46.0;18.0;42.0;9;35.0;30.0;1;35.0;2;50.86;61.49;2;3;3;2;2;3;34.72222222222222;35.26315789473684;3;2.0;31.111111111666666
27.5;35.0;0.0;0.0;0.0;0;0;1;4;2;10.0;0;0.0;22.5;6;6.0;0;0;0;452.04;40.0;2;16.0;2;1;45.0;1;0;6;2;1;11.0;0.0;15.0;0.0;7;45.0;30.0;1;45.0;2;67.51;70.11;2;3;3;2;2;3;35.333333333333336;30.3125;3;2.0;32.0
11.0;0.0;0.0;0.0;0.0;0;0;1;2;2;5.0;0;0.0;22.5;5;9.0;0;0;0;440.44;30.0;3;14.0;3;3;40.0;2;0;4;2;1;5.0;0.0;15.0;0.0;7;45.0;22.5;3;22.5;1;41.68;70.26;2;3;3;2;2;3;27.0;17.25;3;1.0;4.4
25.0;30.0;0.0;0.0;44.0;0;0;1;4;1;9.0;0;0.0;19.0;6;6.0;1;0;0;460.21;30.0;2;15.0;2;6;20.0;4;1;2;4;3;4.0;0.0;17.0;50.0;8;20.0;21.25;6;21.66666667;2;58.06;58.94;2;3;3;2;2;3;25.083333334117647;33.00000000066667;3;2.0;32.57142857142857
41.0;16.0;31.0;28.0;34.0;1;0;1;5;1;11.0;1;23.0;21.66666667;7;6.0;1;0;2;392.85;40.0;3;17.0;2;1;45.0;2;1;7;3;1;13.0;0.0;17.0;45.0;8;40.0;30.0;3;32.5;2;48.4;43.8;2;3;3;2;2;3;33.48039215764705;30.29411764647059;3;1.0;27.75
30.0;35.0;26.33333333;31.0;42.0;3;39;1;7;1;17.0;3;23.5;30.0;8;2.0;1;1;2;497.91;45.0;1;19.0;1;0;45.0;1;1;9;2;1;18.0;37.0;18.0;30.0;9;50.0;40.0;1;40.0;2;59.64;56.46;2;3;3;2;2;3;37.888888888888886;37.36842105263158;3;2.0;31.638888888333334
41.0;35.0;37.0;31.0;40.0;1;41;1;5;1;10.0;2;41.0;25.0;8;9.0;1;1;1;461.23;45.0;3;19.0;3;2;40.0;2;1;7;2;1;11.0;43.0;18.0;37.0;9;40.0;25.0;2;35.0;1;48.65;63.86;2;3;3;2;2;3;33.72222222222222;34.51315789473684;3;2.0;37.55555555555556
34.0;40.0;40.0;30.0;37.0;1;43;1;5;1;10.0;1;34.0;25.0;8;9.0;1;1;1;438.81;45.0;3;19.0;3;1;40.0;2;1;8;2;1;14.0;42.0;18.0;42.0;9;45.0;32.5;2;35.0;1;45.94;64.24;2;3;3;2;2;3;36.02777777777778;32.55263157947368;3;2.0;36.666666666666664
11.66666667;0.0;0.0;0.0;0.0;0;35;0;2;3;4.0;0;0.0;18.75;6;12.0;1;1;0;372.93;35.0;4;16.0;4;4;45.0;4;1;4;4;1;5.0;0.0;17.0;0.0;8;50.0;20.25;3;25.0;1;42.76;49.0;2;3;3;2;2;3;24.455882352941178;11.46875;3;1.0;15.555555556666667
11.5;9.0;0.0;0.0;0.0;0;0;2;2;2;5.0;0;0.0;23.33333333;6;10.0;0;0;0;459.06;30.0;3;15.0;4;3;50.0;2;1;5;3;1;8.0;0.0;17.0;15.0;8;35.0;25.0;2;30.0;1;65.1;73.57;2;3;3;2;2;3;27.843137254117647;18.366666666666667;3;1.0;10.0
